game,word,score0,abaca,3
1114,crude,4
1115,cruel,4
1116,cruet,5
1117,crumb,3
1118,crump,4
1119,cruse,5
1120,crush,3
1121,crust,4
1122,crypt,4
1123,csako,4
1124,ctene,4
1125,cuban,3
1126,cubby,3
1127,cubeb,3
1128,cubic,4
1129,cubit,3
1130,cuddy,3
1131,culex,4
1132,cully,4
1133,culpa,4
1134,cumin,3
1135,cupid,4
1136,cuppa,5
1137,cured,4
1138,curer,4
1139,curia,5
1140,curie,4
1141,curio,3
1142,curly,4
1143,curry,6
1144,cursd,3
1145,curse,6
1146,curve,5
1147,curvy,5
1148,cushy,3
1149,cutin,4
1150,cutch,4
1151,cycad,3
1152,cycas,5
1153,cycle,4
1154,cygne,4
1155,cynic,4
1156,czech,3
1157,dabri,3
1158,dacca,3
1159,dacha,3
1160,daddy,5
1161,daeva,4
1162,daffy,4
1163,dagan,4
1164,dagda,4
1165,dagga,4
1166,dagon,3
1167,daily,4
1168,dairy,4
1169,daisy,4
1170,dakar,5
1171,dalal,5
1172,dalea,5
1173,dalle,4
1174,dally,5
1175,dames,4
1176,damon,4
1177,danae,5
1178,dance,2
1179,dandi,3
1180,dandy,6
1181,dante,4
1182,daraf,3
1183,darby,4
1184,darky,4
1185,darts,4
1186,dated,5
1187,datum,4
1188,daube,3
1189,daunt,4
1190,david,6
1191,davit,5
1192,davus,4
1193,dawns,5
1194,dazed,8
1195,deads,3
1196,death,2
1197,debar,2
1198,debit,2
1199,debts,3
1200,debut,3
1201,decal,2
1202,decay,3
1203,decet,5
1204,decit,3
1205,decks,3
1206,decoy,4
1207,decry,5
1208,dedit,5
1209,deeds,5
1210,defer,4
1211,defie,3
1212,deify,3
1213,deign,3
1214,deism,4
1215,deist,5
1216,deity,4
1217,deker,5
1218,dekko,4
1219,delay,3
1220,delft,3
1221,delhi,2
1222,delta,3
1223,delve,4
1224,demel,4
1225,demon,3
1226,demos,4
1227,demur,4
1228,denim,4
1229,dense,5
1230,dents,4
1231,depee,5
1232,depot,4
1233,depth,3
1234,derby,3
1235,derri,4
1236,derry,6
1237,desto,5
1238,detat,5
1239,deter,6
1240,detox,5
1241,detre,5
1242,deuce,4
1243,devel,4
1244,devex,6
1245,devil,3
1246,devon,4
1247,dewan,4
1248,dewey,7
1249,dhawa,4
1250,dheur,3
1251,dhobi,2
1252,dhole,3
1253,dhote,4
1254,dhoti,4
1255,diana,3
1256,diary,4
1257,diazo,4
1258,dicen,2
1259,dicer,3
1260,dicis,3
1261,dicky,3
1262,dicot,3
1263,dicta,3
1264,dicto,4
1265,dictu,4
1266,dight,3
1267,digit,4
1268,dildo,4
1269,dilly,5
1270,dimer,4
1271,dimes,5
1272,dimly,4
1273,diner,4
1274,dingo,3
1275,dingy,3
1276,dinka,3
1277,dinky,4
1278,diode,4
1279,dioon,3
1280,dipus,4
1281,dirca,2
1282,dirge,4
1283,dirty,3
1284,disce,3
1285,disco,3
1286,dishy,3
1287,ditch,3
1288,ditto,5
1289,ditty,5
1290,divan,4
1291,diver,5
1292,dives,5
1293,divot,4
1294,divvy,6
1295,dixie,5
1296,dixit,5
1297,dizen,5
1298,dizzy,7
1299,dobra,3
1300,doces,3
1301,docet,4
1302,dodge,4
1303,doeil,3
1304,doesn,4
1305,doggo,4
1306,dogie,3
1307,dogma,3
1308,doily,4
1309,doing,3
1310,dolce,3
1311,dolly,4
1312,dolor,4
1313,domed,4
1314,domum,5
1315,donar,4
1316,donec,3
1317,donee,5
1318,donna,4
1319,donne,6
1320,donor,4
1321,dooly,4
1322,doors,3
1323,doped,4
1324,doric,2
1325,doris,3
1326,dosed,5
1327,dotty,5
1328,doubt,3
1329,dough,2
1330,douse,5
1331,dover,4
1332,doves,5
1333,dowdy,5
1334,dowel,4
1335,dower,5
1336,downs,4
1337,downy,4
1338,dowry,3
1339,dowse,5
1340,doyen,5
1341,dozen,6
1342,dphil,3
1343,draba,3
1344,draco,2
1345,draff,4
1346,draft,3
1347,drain,3
1348,drake,3
1349,drama,4
1350,drame,4
1351,drape,5
1352,drawl,3
1353,drawn,4
1354,dread,7
1355,dream,5
1356,dreck,3
1357,dregs,3
1358,dress,4
1359,dried,4
1360,drier,4
1361,drift,3
1362,drill,6
1363,drily,5
1364,drink,4
1365,drive,4
1366,droil,3
1367,droit,4
1368,drole,3
1369,droll,5
1370,drone,5
1371,drony,4
1372,drool,6
1373,droop,5
1374,dropp,5
1375,drops,4
1376,dross,5
1377,drove,5
1378,drown,6
1379,drugs,3
1380,druid,4
1381,drums,4
1382,drunk,4
